Brand,Model_Name,Price,Front_Cam_MP,Display_cm,Processor,RAM_in_gb,ROM_in_gb,Battery_in_mAh,Expandable_Memory_in_gb,Rating
POCO,POCO M3 (Yellow),11999.0,8.0,16.59,Qualcomm Snapdragon 662 Processor,6.0,128.0,6000.0,512.0,4.3
REDMI,REDMI 9 Power (Electric Green),12999.0,8.0,16.59,,6.0,128.0,6000.0,0.0,4.3
realme,realme X7 5G (Nebula),17999.0,16.0,16.33,MediaTek Dimensity 800U Processor,6.0,128.0,4310.0,0.0,4.3
Infinix,Infinix Smart 4 Plus (Violet),7999.0,8.0,17.32,Mediatek Helio A25 Processor,3.0,32.0,6000.0,256.0,4.4
MOTOROLA,MOTOROLA E7 Power (Coral Red),7999.0,5.0,16.54,MediaTek Helio G25 Processor,4.0,64.0,5000.0,1000.0,4.1
realme,realme Narzo 30 Pro 5G (Sword Black),17999.0,16.0,16.51,MediaTek Dimensity 800U Processor,8.0,128.0,5000.0,256.0,4.3
ViVO,ViVO Y20G (Obsidian Black),14990.0,8.0,16.54,MediaTek Helio G80 Processor,6.0,128.0,5000.0,1000.0,4.3
ViVO,ViVO Y20G (Obsidian Black),12990.0,8.0,16.54,MediaTek Helio G80 Processor,4.0,64.0,5000.0,1000.0,4.3
SAMSUNG,SAMSUNG Galaxy F12 (Sky Blue),10999.0,8.0,16.55,Exynos 850 Processor,4.0,128.0,6000.0,512.0,4.2
ViVO,ViVO Y11 (Agate Red),9490.0,8.0,16.13,SDM439 Processor,3.0,32.0,5000.0,0.0,4.4
ViVO,ViVO Y11 (Mineral Blue),9490.0,8.0,16.13,SDM439 Processor,3.0,32.0,5000.0,0.0,4.4
SAMSUNG,SAMSUNG Galaxy M11 (Black),9997.0,8.0,16.26,,4.0,64.0,5000.0,512.0,4.3
ViVO,ViVO Y30 (Emerald Black),13990.0,8.0,16.43,MediaTek Helio P35 Processor,4.0,128.0,5000.0,256.0,4.3
Infinix,,9999.0,8.0,17.32,MediaTek Helio G85 Processor,4.0,64.0,6000.0,256.0,4.4
Infinix,,9999.0,8.0,17.32,MediaTek Helio G85 Processor,4.0,64.0,6000.0,256.0,4.4
Infinix,Infinix Hot 10S (Morandi Green),9999.0,8.0,17.32,MediaTek Helio G85 Processor,4.0,64.0,6000.0,256.0,4.4
Itel,Itel A25 Pro (Gradation Green),4999.0,2.0,12.7,Unisoc 9832E Quad Core Processor,2.0,32.0,3020.0,32.0,4.1
Infinix,Infinix Hot 10S (Morandi Green),9999.0,8.0,17.32,MediaTek Helio G85 Processor,4.0,64.0,6000.0,256.0,4.4
Itel,Itel A25 Pro (Gradation Green),4999.0,2.0,12.7,Unisoc 9832E Quad Core Processor,2.0,32.0,3020.0,32.0,4.1
Itel,Itel A25 Pro (Gradation Blue),4999.0,2.0,12.7,Unisoc 9832E Quad Core Processor,2.0,32.0,3020.0,32.0,4.1
Itel,Itel A25 Pro (Gradation Purple),4999.0,2.0,12.7,Unisoc 9832E Quad Core Processor,2.0,32.0,3020.0,32.0,4.1
Itel,Itel Vision1 (Gradation Green),6549.0,5.0,15.46,Unisoc SC9863A Octa Core Processor,3.0,32.0,4000.0,128.0,4.1
SAMSUNG,SAMSUNG Galaxy F02s (Diamond Blue),9999.0,5.0,16.55,,4.0,64.0,5000.0,1000.0,4.2
Redmi,Redmi 9 (Sky Blue),10889.0,5.0,16.59,MediaTek Helio G35 Processor,4.0,128.0,5000.0,0.0,4.2
Redmi,Redmi 9 (Carbon Black),9244.0,5.0,16.59,MediaTek Helio G35 Processor,4.0,64.0,5000.0,0.0,4.2
SAMSUNG,SAMSUNG M31 (Ocean Blue),15715.0,32.0,16.26,Samsung Exynos 9 Octa 9611 Processor,6.0,128.0,6000.0,512.0,4.3
ViVO, V2069 (Glacier Blue),10490.0,8.0,16.54,Snapdragon 439 Processor,3.0,32.0,5000.0,256.0,4.3
Infinix,Infinix Hot 10S (Morandi Green),10999.0,8.0,17.32,MediaTek Helio G85 Processor,6.0,64.0,6000.0,256.0,4.3
GIONEE,GIONEE Max Pro (Blue),6499.0,8.0,16.56,Octa Core Processor,3.0,32.0,6000.0,256.0,3.9
realme,realme C25s (Watery Grey),9999.0,8.0,16.51,MediaTek Helio G85 Processor,4.0,64.0,6000.0,256.0,4.4
realme,realme C25s (Watery Grey),10999.0,8.0,16.51,MediaTek Helio G85 Processor,4.0,128.0,6000.0,256.0,4.4
realme,realme C25s (Watery Blue),9999.0,8.0,16.51,MediaTek Helio G85 Processor,4.0,64.0,6000.0,256.0,4.4
realme,realme 8 Pro (Infinite Black),19999.0,16.0,16.26,Qualcomm Snapdragon 720G Processor,8.0,128.0,4500.0,256.0,4.3
realme,realme 8 Pro (Infinite Black),17999.0,16.0,16.26,Qualcomm Snapdragon 720G Processor,6.0,128.0,4500.0,256.0,4.3
SAMSUNG,SAMSUNG Galaxy F62 (Laser Blue),25999.0,32.0,17.02,Exynos 9825 Processor,8.0,128.0,7000.0,1000.0,4.3
GIONEE,GIONEE Max Pro (Red),6499.0,8.0,16.56,Octa Core Processor,3.0,32.0,6000.0,256.0,3.9
